state,name,temp,mo,da,wban,stn,c,rain,lat,long
MA,BOSTON,67.9,08,08,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,77.3,08,16,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,70.2,08,24,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,53.2,10,02,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,52.2,10,17,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,54.4,11,08,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,39.1,12,01,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,49.2,12,10,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,33.7,12,29,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,18.2,01,06,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,18.5,01,27,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,23.9,02,25,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,37.5,03,15,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,42.3,03,17,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,28.0,03,24,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,51.9,04,12,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,49.6,04,23,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,44.5,04,24,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,48.6,04,26,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,66.0,06,18,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,68.6,07,04,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,75.0,07,15,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,76.6,07,27,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,77.7,08,04,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,66.3,08,09,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,69.8,08,11,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,80.7,08,17,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,77.5,08,26,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,70.8,09,06,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,73.7,09,16,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,56.2,10,06,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,62.9,10,13,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,50.9,11,10,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,51.8,12,11,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,60.1,12,25,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,35.5,01,02,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,34.5,01,20,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,15.8,02,17,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,22.5,02,26,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,22.4,02,28,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,36.6,03,28,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,40.0,04,01,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,37.7,04,08,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,60.5,05,15,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,75.3,05,27,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,73.5,06,13,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,76.7,08,14,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,65.9,09,11,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,66.0,09,12,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,64.6,09,13,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,61.7,09,25,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,57.3,10,11,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,39.0,11,29,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,34.2,11,30,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,54.7,12,06,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,51.7,12,13,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,54.2,12,22,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,53.2,12,23,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,36.3,12,28,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,33.7,01,18,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,20.5,02,01,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,25.9,02,19,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,45.9,04,25,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,57.2,05,19,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,59.5,06,28,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,71.1,07,01,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,75.1,07,06,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,78.8,08,02,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,72.4,08,25,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,82.3,08,31,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,71.8,09,30,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,54.0,10,25,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,67.8,10,29,99999,994971,1,0,42350.0,-71050.0
MA,BOSTON,43.8,11,15,99999,994971,1,0,42350.0,-71050.0
